City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Sayyan,YE,15.1718,44.3244,51.26,82,68,3.27,broken clouds
154,Cedar City,US,37.6775,-113.0619,29.39,50,0,0.0,clear sky
155,Turhal,TR,40.3875,36.0811,26.58,93,80,3.2,broken clouds
156,Manaure,CO,11.7751,-72.4445,76.41,80,0,12.71,clear sky
157,Tongliao,CN,43.6125,122.2653,11.62,71,2,11.81,clear sky
158,Atar,MR,20.5169,-13.0499,68.79,12,20,6.02,few clouds
159,Ekhabi,RU,53.5102,142.9671,3.11,94,100,21.54,light snow
160,Henties Bay,NA,-22.116,14.2845,66.85,84,100,4.21,overcast clouds
161,Mahebourg,MU,-20.4081,57.7,80.26,89,75,17.27,broken clouds
162,Bambamarca,PE,-6.6833,-78.5333,52.52,93,80,2.15,broken clouds
163,Yellowknife,CA,62.456,-114.3525,-26.45,80,100,5.01,overcast clouds
164,Paamiut,GL,61.994,-49.6678,5.38,92,100,7.9,light snow
165,Naica,MX,27.85,-105.4833,36.54,23,0,12.12,clear sky
166,San Ramon,US,37.7799,-121.978,55.4,65,5,2.13,clear sky
167,Mackenzie,CA,55.2999,-123.1698,36.21,95,100,7.45,overcast clouds
168,Khani,GE,41.9563,42.9566,26.17,99,99,7.65,snow
169,Namibe,AO,-15.1961,12.1522,70.48,69,17,6.29,few clouds
170,Foumban,CM,5.7291,10.9001,62.06,33,11,1.66,few clouds
171,Senneterre,CA,48.3835,-77.2328,-4.74,96,100,3.11,overcast clouds
172,Jauharabad,PK,32.2898,72.2813,48.31,67,0,2.44,clear sky
173,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.31,75,7,7.16,clear sky
174,Kouango,CF,4.9934,19.9619,72.37,24,100,4.61,overcast clouds
175,Acarau,BR,-2.8856,-40.12,78.67,82,41,11.16,scattered clouds
176,Skjervoy,NO,70.0311,20.9714,23.63,70,49,21.85,scattered clouds
177,Riverton,US,40.5219,-111.9391,30.36,68,0,4.0,clear sky
178,Pemba,MZ,-12.974,40.5178,77.7,94,75,8.05,broken clouds
179,Alice Springs,AU,-23.7,133.8833,78.35,31,0,8.05,clear sky
180,Santa Rita,BR,-7.1139,-34.9781,79.47,83,40,3.44,scattered clouds
181,Caravelas,BR,-17.7125,-39.2481,75.56,92,100,6.64,overcast clouds
182,Marzuq,YE,14.4,46.4667,61.41,28,0,5.17,clear sky
183,Thai Binh,VN,20.45,106.3333,59.0,66,100,5.48,overcast clouds
184,Jaisalmer,IN,26.9147,70.9181,60.78,24,0,7.76,clear sky
185,Rafaela,AR,-31.2503,-61.4867,72.05,76,11,1.01,few clouds
186,Ugento,IT,39.9263,18.1574,50.97,76,94,11.5,overcast clouds
187,New Norfolk,AU,-42.7826,147.0587,69.89,52,98,1.99,overcast clouds
188,Torbay,CA,47.6666,-52.7314,32.58,97,100,12.66,mist
189,Cherskiy,RU,68.75,161.3,-29.94,96,9,3.53,clear sky
190,Sanchursk,RU,56.9413,47.2499,20.39,94,100,12.88,snow
191,Upernavik,GL,72.7868,-56.1549,4.06,95,100,14.52,overcast clouds
192,Mukhen,RU,48.1,136.1,1.74,86,100,5.41,overcast clouds
193,Mao,ES,39.8885,4.2658,48.76,93,0,6.91,clear sky
194,Satka,RU,55.0425,59.04,18.73,89,100,4.61,overcast clouds
195,Zhangye,CN,38.9342,100.4517,20.52,30,100,3.15,overcast clouds
196,Sabang,ID,5.8933,95.3214,81.9,75,88,17.2,overcast clouds
197,Portobelo,PA,9.55,-79.65,77.41,84,8,12.71,clear sky
198,Kalemie,CD,-5.9475,29.1947,68.7,89,100,1.92,light rain
199,Zarubino,RU,42.63,131.0922,14.59,47,22,18.7,few clouds
200,Ukiah,US,39.1502,-123.2078,54.12,62,0,0.0,clear sky
201,Omboue,GA,-1.5746,9.2618,76.53,85,92,5.48,overcast clouds
202,Lubao,PH,14.9167,120.55,85.14,54,87,19.39,overcast clouds
203,Aklavik,CA,68.2191,-135.0107,-25.69,90,6,17.67,clear sky
204,Zhigansk,RU,66.7697,123.3711,-27.02,98,99,4.99,overcast clouds
205,Qaanaaq,GL,77.484,-69.3632,1.63,70,100,6.31,overcast clouds
206,Lashio,MM,22.9333,97.75,65.46,40,0,1.77,clear sky
207,Vangaindrano,MG,-23.35,47.6,76.24,92,100,13.96,moderate rain
208,Roald,NO,62.5833,6.1333,39.33,65,40,29.93,scattered clouds
209,Dzilam Gonzalez,MX,21.2833,-88.9333,73.65,91,55,6.04,broken clouds
210,Arman,RU,59.7,150.1667,5.99,71,48,12.33,scattered clouds
211,Esso,RU,55.9333,158.7,15.3,90,100,5.01,overcast clouds
212,Bilibino,RU,68.0546,166.4372,-5.31,80,0,4.61,clear sky
213,Darlawn,IN,24.0167,92.9,58.6,98,99,3.69,overcast clouds
214,Gat,IL,31.61,34.7642,52.48,100,83,11.72,broken clouds
215,Iquique,CL,-20.2208,-70.1431,68.27,76,40,1.63,scattered clouds
216,Mabaruma,GY,8.2,-59.7833,73.09,91,11,3.2,few clouds
217,Khamanon,IN,30.8186,76.3508,47.86,86,0,3.24,clear sky
218,Boa Vista,BR,2.8197,-60.6733,80.58,69,0,9.22,clear sky
219,Ferkessedougou,CI,9.6,-5.2,70.27,15,4,1.19,clear sky
220,Dois Vizinhos,BR,-25.7336,-53.0572,67.48,98,24,2.44,few clouds
221,Bathsheba,BB,13.2167,-59.5167,75.81,69,20,13.8,few clouds
222,Marathon,US,44.9,-89.7668,4.24,83,0,3.44,clear sky
223,Mattawa,US,46.7379,-119.9028,36.1,85,4,3.91,clear sky
224,Bontang,ID,0.1333,117.5,83.08,69,100,6.51,overcast clouds
225,Kisangani,CD,0.5167,25.2,70.92,83,100,3.15,overcast clouds
226,Muravlenko,RU,63.7898,74.523,-0.47,97,70,13.09,broken clouds
227,Sipe Sipe,BO,-17.45,-66.3833,58.75,87,100,3.67,overcast clouds
228,Haines Junction,CA,60.7522,-137.5108,1.92,99,100,2.1,light snow
229,Juneau,US,58.3019,-134.4197,37.85,95,100,3.44,mist
230,Kayerkan,RU,69.3497,87.7602,-7.94,97,94,4.5,overcast clouds
231,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,17.27,clear sky
232,Hamilton,US,39.1834,-84.5333,18.84,86,40,0.0,scattered clouds
233,Anadyr,RU,64.75,177.4833,-6.02,79,0,4.81,clear sky
234,Scottsbluff,US,41.8666,-103.6672,34.92,53,0,8.01,clear sky
235,La Paz,BO,-16.5,-68.15,49.98,76,75,4.61,light rain
236,San Quintin,MX,30.4833,-115.95,56.75,56,5,3.36,clear sky
237,Lasa,IT,46.6166,10.7002,29.3,93,28,7.74,scattered clouds
238,Bonthe,SL,7.5264,-12.505,74.82,85,10,1.16,clear sky
239,Kavaratti,IN,10.5669,72.642,77.68,59,82,4.74,broken clouds
240,Asau,RO,46.4333,26.4,22.28,74,41,6.15,scattered clouds
241,Nome,US,64.5011,-165.4064,3.27,66,20,6.91,few clouds
242,Murud,IN,18.3258,72.965,67.39,65,13,3.53,few clouds
243,Qaqortoq,GL,60.7167,-46.0333,3.92,52,5,23.09,clear sky
244,Kikuyu,KE,-1.2458,36.6633,54.68,67,100,2.93,overcast clouds
245,Cockburn Town,TC,21.4612,-71.1419,75.76,73,0,17.52,clear sky
246,Cidreira,BR,-30.1811,-50.2056,72.55,92,13,4.32,few clouds
247,Airai,TL,-8.9266,125.4092,71.83,71,97,2.68,overcast clouds
248,Kyren,RU,51.6828,102.1408,10.0,76,27,1.03,scattered clouds
249,Brae,GB,60.3964,-1.353,39.11,66,100,24.63,overcast clouds
250,Thompson,CA,55.7435,-97.8558,-20.04,76,0,5.75,clear sky
251,Vardo,NO,70.3705,31.1107,21.6,91,100,27.67,light snow
252,Ilulissat,GL,69.2167,-51.1,10.42,56,40,11.5,scattered clouds
253,Chushan,CN,33.2955,113.6528,39.85,36,38,7.11,scattered clouds
254,Oranjestad,AW,12.524,-70.027,78.75,78,20,11.5,few clouds
255,French Harbor,HN,16.35,-86.4333,78.8,93,40,11.5,scattered clouds
256,Russell,US,32.3502,-85.1999,42.08,88,100,10.2,overcast clouds
257,Port Hedland,AU,-20.3167,118.5667,93.25,62,75,18.41,broken clouds
258,Bendigo,AU,-36.7667,144.2833,82.85,35,12,1.01,few clouds
259,Fukue,JP,32.6881,128.8419,41.22,68,100,25.3,overcast clouds
260,Waipawa,NZ,-41.4122,175.5153,56.44,93,100,10.0,light rain
261,Westport,US,41.1415,-73.3579,32.0,87,100,1.01,snow
262,Liverpool,GB,53.4106,-2.9779,42.76,84,20,5.01,few clouds
263,Tsabong,BW,-26.0217,22.401,75.07,36,38,9.24,scattered clouds
264,Kanniyakumari,IN,8.0833,77.5667,78.57,77,22,2.66,few clouds
265,Tabuk,PH,17.4189,121.4443,75.22,78,94,8.25,overcast clouds
266,Hualmay,PE,-11.0964,-77.6139,69.78,85,39,9.1,scattered clouds
267,Babstovo,RU,48.1167,132.4833,-2.24,84,94,5.21,overcast clouds
268,Borba,BR,-4.3878,-59.5939,73.33,99,100,2.39,light rain
269,Faanui,PF,-16.4833,-151.75,80.64,75,58,13.31,light rain
270,Anthili,GR,38.85,22.4667,42.1,92,0,2.46,clear sky
271,Savannah Bight,HN,16.45,-85.85,77.0,75,14,14.61,few clouds
272,Leningradskiy,RU,69.3833,178.4167,-17.7,93,52,7.67,broken clouds
273,Ahipara,NZ,-35.1667,173.1667,71.1,96,91,14.23,overcast clouds
274,San Patricio,US,28.017,-97.5169,42.66,72,6,13.98,clear sky
275,Hami,CN,42.8,93.45,26.22,31,100,2.53,overcast clouds
276,Aykhal,RU,66.0,111.5,-22.13,100,90,5.17,overcast clouds
277,Svetlyy,RU,54.675,20.1347,41.05,93,100,19.6,light rain
278,Husavik,IS,66.0449,-17.3389,16.74,92,100,7.87,overcast clouds
279,Komsomolskiy,UZ,40.4272,71.7189,27.82,63,100,9.22,overcast clouds
280,Faya,SA,18.3851,42.4509,52.25,92,25,5.7,scattered clouds
281,Lazaro Cardenas,MX,17.9583,-102.2,72.88,77,12,1.12,few clouds
282,Chaplygin,RU,53.2432,39.9629,8.29,93,30,10.8,scattered clouds
283,Lethem,GY,3.3803,-59.7968,78.1,74,99,10.11,overcast clouds
284,Maputo,MZ,-25.9653,32.5892,71.28,94,75,12.66,broken clouds
285,Danshui,CN,22.7984,114.4672,60.94,60,94,7.14,overcast clouds
286,Vaitape,PF,-16.5167,-151.75,80.62,75,62,13.33,light rain
287,Clyde River,CA,70.4692,-68.5914,-15.02,98,100,5.46,overcast clouds
288,Chuy,UY,-33.6971,-53.4616,68.81,94,16,4.56,few clouds
289,Honiara,SB,-9.4333,159.95,86.09,71,100,7.78,overcast clouds
290,Yongan,CN,39.6957,113.6871,15.22,40,56,5.53,broken clouds
291,Hithadhoo,MV,-0.6,73.0833,81.79,73,99,11.63,overcast clouds
292,Saint-Denis,FR,48.9167,2.3333,40.14,88,0,3.44,clear sky
293,Kavieng,PG,-2.5744,150.7967,83.97,70,100,6.8,overcast clouds
294,Gizo,SB,-8.103,156.8419,86.11,71,100,13.56,overcast clouds
295,Velikiy Ustyug,RU,60.7644,46.3106,-14.17,100,100,3.49,overcast clouds
296,Lysyye Gory,RU,51.5506,44.8414,10.22,97,100,5.88,overcast clouds
297,Puerto Madero,MX,14.7208,-92.4215,71.8,100,0,0.0,clear sky
298,Krasnyye Baki,RU,57.131,45.1599,16.7,94,100,10.47,snow
299,Port Shepstone,ZA,-30.7414,30.455,70.09,90,100,4.68,moderate rain
300,Dutlwe,BW,-23.9833,23.9,69.73,76,87,13.51,overcast clouds
301,Provideniya,RU,64.3833,-173.3,0.07,68,1,10.18,clear sky
302,Morros,BR,-9.4467,-46.3003,74.8,60,100,2.08,overcast clouds
303,Vestmannaeyjar,IS,63.4427,-20.2734,31.91,74,100,30.67,snow
304,Egvekinot,RU,66.3167,-179.1667,-4.81,70,0,11.81,clear sky
305,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
306,Rio Gallegos,AR,-51.6226,-69.2181,50.58,64,7,15.93,clear sky
307,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,78,100,8.59,overcast clouds
308,Nelson Bay,AU,-32.7167,152.15,77.95,60,37,4.0,scattered clouds
309,Port-Gentil,GA,-0.7193,8.7815,79.45,80,57,7.67,broken clouds
310,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.64,98,100,1.1,heavy intensity rain
311,Ampanihy,MG,-24.7,44.75,71.42,92,1,8.7,clear sky
312,Rio Grande,BR,-32.035,-52.0986,73.51,94,0,7.83,clear sky
313,Codrington,AU,-38.2667,141.9667,71.47,53,98,19.3,overcast clouds
314,Iringa,TZ,-7.7667,35.7,58.42,98,100,1.81,light rain
315,Krasnomayskiy,RU,57.6194,34.4099,0.91,100,97,4.27,overcast clouds
316,Merritt Island,US,28.5392,-80.672,74.41,81,0,8.05,clear sky
317,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,75.88,73,89,2.21,overcast clouds
318,Greenwood,US,34.1668,-82.1165,48.27,63,20,1.01,few clouds
319,Vaasa,FI,63.096,21.6158,33.82,93,100,10.36,overcast clouds
320,Kloulklubed,PW,7.0419,134.2556,84.7,81,33,18.05,scattered clouds
321,Ponta Do Sol,PT,32.6667,-17.1,64.71,69,89,4.05,overcast clouds
322,Ancud,CL,-41.8697,-73.8203,53.42,91,10,3.13,clear sky
323,Port Hawkesbury,CA,45.6169,-61.3485,33.19,99,100,6.91,light snow
324,Dixon,US,38.4455,-121.8233,56.19,61,0,0.0,clear sky
325,Tambun,ID,-6.2641,107.0712,84.24,74,40,6.91,scattered clouds
326,Anderson,US,34.5334,-82.6499,47.75,88,0,3.0,clear sky
327,Olga,RU,43.7444,135.2892,13.19,46,14,16.8,few clouds
328,Santa Lucia,ES,27.9117,-15.5407,59.76,39,0,5.75,clear sky
329,Mahdalynivka,UA,48.921,34.9156,24.58,96,91,3.6,overcast clouds
330,Dubbo,AU,-32.25,148.6167,78.93,34,40,14.97,scattered clouds
331,Urumqi,CN,43.801,87.6005,-1.25,85,75,2.24,fog
332,Tshane,BW,-24.0196,21.8684,69.12,74,48,8.01,light rain
333,Santa Cruz,BO,-17.8,-63.1667,74.66,94,75,13.8,broken clouds
334,Marand,IR,38.4329,45.7749,32.34,98,98,1.68,overcast clouds
335,Sesheke,ZM,-17.4759,24.2968,65.08,96,100,4.5,overcast clouds
336,Rock Springs,US,41.5875,-109.2029,26.04,50,0,16.11,clear sky
337,Boende,CD,-0.2167,20.8667,69.8,79,100,2.01,overcast clouds
338,Ugoofaaru,MV,5.6667,73.0,81.16,68,47,10.74,scattered clouds
339,Ulladulla,AU,-35.35,150.4667,70.77,58,36,14.25,scattered clouds
340,Utete,TZ,-7.986,38.758,70.11,98,100,2.35,light rain
341,Otradnoye,RU,59.7775,30.8181,18.55,88,99,12.48,overcast clouds
342,Sinegorye,RU,62.0788,150.477,-13.13,86,10,1.43,clear sky
343,Skibbereen,IE,51.55,-9.2667,48.11,77,67,17.02,broken clouds
344,Saint-Leu,RE,-21.15,55.2833,79.66,77,100,11.52,light rain
345,Carutapera,BR,-1.195,-46.02,75.54,93,100,5.39,overcast clouds
346,Guane,CU,22.2025,-84.0875,72.12,90,23,4.07,few clouds
